Datang (detik),Mulai (detik),Selesai (detik),,,,,
12:58:24,12:59:33,13:00:42,,,,,
13:01:31,13:01:31,13:02:32,,,,,
13:02:01,13:02:32,13:03:01,,,,,
13:02:02,13:03:01,13:03:13,,,,,
13:03:25,13:03:25,13:03:32,,,,,
13:03:26,13:03:32,13:13:57,,,,,
13:04:14,13:13:57,13:14:41,,,,,
13:07:32,13:14:41,13:14:55,,,,,
13:14:44,13:14:55,13:15:00,,,,,
13:14:48,13:15:00,13:15:11,,,,,
13:18:17,13:18:17,13:20:58,,,,,
13:18:43,13:20:58,13:21:34,,,,,
13:19:41,13:21:34,13:22:02,,,,,
13:20:08,13:22:02,13:22:31,,,,,
13:20:30,13:22:31,13:22:46,,,,,
13:22:30,13:22:46,13:23:56,,,,,
13:27:35,13:27:35,13:28:24,,,,,
13:31:08,13:31:08,13:32:36,,,,,
13:39:06,13:39:06,13:40:17,,,,,
13:39:08,13:40:17,13:40:53,,,,,
13:46:31,13:46:31,13:47:25,,,,,
13:47:10,13:47:25,13:47:47,,,,,
13:50:14,13:50:14,13:52:55,,,,,
13:51:31,13:52:55,13:53:29,,,,,
13:51:37,13:53:29,13:53:38,,,,,
13:51:38,13:53:38,13:54:13,,,,,
13:55:14,13:55:14,13:56:57,,,,,
13:55:29,13:56:57,13:57:24,,,,,
13:56:26,13:57:24,13:57:31,,,,,
13:58:23,13:58:23,13:58:43,,,,,
13:58:25,13:58:43,13:59:08,,,,,
14:00:11,14:00:11,14:01:05,,,,,
14:00:39,14:01:05,14:01:46,,,,,
14:01:10,14:01:46,14:02:19,,,,,
14:01:14,14:02:19,14:02:30,,,,,
14:01:17,14:02:30,14:02:49,,,,,
14:05:23,14:05:23,14:06:49,,,,,
14:13:32,14:13:32,14:14:31,,,,,
14:28:27,14:28:27,14:29:13,,,,,
14:28:28,14:29:13,14:29:32,,,,,
14:33:08,14:33:08,14:35:56,,,,,
14:33:11,14:35:56,14:36:50,,,,,
14:34:40,14:36:50,14:37:14,,,,,
14:36:48,14:37:14,14:37:37,,,,,
14:39:22,14:39:22,14:40:46,,,,,
14:48:32,14:48:33,14:53:31,,,,,
14:48:33,14:53:31,14:55:40,,,,,
14:48:43,14:55:40,14:56:14,,,,,
14:48:46,14:56:14,14:56:37,,,,,
14:48:48,14:56:37,14:58:49,,,,,
14:59:33,14:59:33,15:02:37,,,,,
14:59:38,15:02:37,15:03:51,,,,,
14:59:41,15:03:51,15:03:51,,,,,
15:02:04,15:03:51,15:06:27,,,,,
15:02:34,15:06:27,15:06:29,,,,,
15:02:43,15:06:29,15:07:17,,,,,
15:02:51,15:07:17,15:07:45,,,,,
15:02:53,15:07:45,15:07:56,,,,,
15:07:00,15:07:56,15:08:23,,,,,
15:07:07,15:08:23,15:11:13,,,,,
15:07:11,15:11:13,15:12:08,,,,,
15:09:15,15:12:08,15:12:34,,,,,
15:09:16,15:12:34,15:12:55,,,,,
15:09:21,15:12:55,15:13:48,,,,,
15:09:23,15:13:48,15:14:23,,,,,
15:09:36,15:14:23,15:14:39,,,,,
15:15:02,15:15:02,15:15:08,,,,,
15:17:23,15:17:23,15:18:20,,,,,
15:23:33,15:23:33,15:24:57,,,,,
15:27:12,15:27:12,15:28:00,,,,,
15:27:20,15:28:00,15:28:56,,,,,
15:27:21,15:28:56,15:29:20,,,,,
15:30:39,15:30:39,15:32:36,,,,,
10:05:53,10:05:53,10:10:08,,,,,
10:07:00,10:10:08,10:10:04,,,,,
10:07:17,10:10:04,10:11:01,,,,,
10:07:41,10:11:01,10:12:45,,,,,
10:11:19,10:12:45,10:13:14,,,,,
10:11:26,10:13:14,10:13:31,,,,,
10:12:08,10:13:31,10:13:45,,,,,
10:12:46,10:13:45,10:14:06,,,,,
10:13:26,10:14:06,10:14:36,,,,,
10:13:28,10:14:36,10:15:25,,,,,
10:17:18,10:17:18,10:19:32,,,,,
10:18:46,10:19:32,10:20:21,,,,,
10:19:14,10:20:21,10:20:42,,,,,
10:19:23,10:20:42,10:20:47,,,,,
10:21:03,10:21:03,10:22:16,,,,,
10:24:14,10:24:14,10:26:05,,,,,
10:25:39,10:26:05,10:26:20,,,,,
10:26:18,10:26:20,10:27:40,,,,,
10:26:34,10:27:40,10:28:16,,,,,
10:29:52,10:29:52,10:30:13,,,,,
10:30:20,10:30:20,10:31:12,,,,,
10:30:24,10:31:12,10:32:28,,,,,
10:32:09,10:32:28,10:33:40,,,,,
10:32:10,10:33:40,10:33:42,,,,,
10:32:11,10:33:42,10:34:53,,,,,
10:32:14,10:34:53,10:35:39,,,,,
10:32:28,10:35:39,10:36:02,,,,,
10:32:36,10:36:02,10:36:10,,,,,
10:32:45,10:36:10,10:36:37,,,,,
10:32:52,10:36:37,10:36:54,,,,,
10:34:06,10:36:54,10:36:58,,,,,
10:35:56,10:36:58,10:37:14,,,,,
10:38:09,10:38:09,10:39:19,,,,,
10:39:07,10:39:19,10:40:27,,,,,
10:50:14,10:50:14,10:51:00,,,,,
10:50:25,10:51:00,10:52:06,,,,,
10:54:10,10:54:10,10:56:40,,,,,
10:59:48,10:59:48,11:00:41,,,,,
11:00:34,11:00:41,11:01:54,,,,,
11:01:11,11:01:54,11:02:10,,,,,
11:04:12,11:04:12,11:05:25,,,,,
11:13:02,11:13:02,11:14:25,,,,,
11:15:10,11:15:10,11:16:19,,,,,
11:15:13,11:16:19,11:17:17,,,,,
11:16:37,11:17:17,11:17:17,,,,,
11:17:10,11:17:17,11:19:00,,,,,
11:17:19,11:19:00,11:19:01,,,,,
11:18:41,11:19:01,11:19:43,,,,,
11:18:44,11:19:43,11:20:15,,,,,
11:18:52,11:20:15,11:20:33,,,,,
11:22:00,11:22:00,11:23:50,,,,,
11:25:46,11:25:46,11:26:29,,,,,
11:27:50,11:27:50,11:28:11,,,,,
11:27:56,11:28:11,11:28:52,,,,,
11:33:06,11:33:06,11:34:24,,,,,
11:42:25,11:42:25,11:43:11,,,,,
11:46:38,11:46:38,11:48:36,,,,,
11:46:42,11:48:36,11:49:09,,,,,
11:47:09,11:49:09,11:49:20,,,,,
11:47:12,11:49:20,11:49:50,,,,,
11:50:14,11:50:14,11:51:56,,,,,
11:51:02,11:51:56,11:53:19,,,,,
11:51:28,11:53:19,11:55:00,,,,,
11:51:48,11:55:00,11:55:44,,,,,
11:51:49,11:55:44,11:56:25,,,,,
11:51:51,11:56:25,11:56:31,,,,,
11:53:55,11:56:31,11:56:59,,,,,
11:53:59,11:56:59,11:57:44,,,,,
11:54:27,11:57:44,11:58:12,,,,,
11:55:30,11:58:12,11:59:02,,,,,
11:55:54,11:59:02,12:01:09,,,,,
11:56:10,12:01:09,12:01:39,,,,,
11:56:49,12:01:39,12:01:58,,,,,
11:57:01,12:01:58,12:02:39,,,,,
11:57:20,12:02:39,12:02:57,,,,,
11:57:21,12:02:57,12:03:38,,,,,
11:57:31,12:03:38,12:03:57,,,,,
11:57:38,12:03:57,12:05:00,,,,,
11:57:39,12:05:00,12:05:18,,,,,
11:58:22,12:05:18,12:05:36,,,,,
12:00:36,12:05:36,12:06:07,,,,,
12:00:41,12:06:07,12:06:33,,,,,
12:00:47,12:06:33,12:06:42,,,,,
12:01:52,12:06:42,12:07:25,,,,,
12:01:59,12:07:25,12:07:34,,,,,
12:02:44,12:07:34,12:07:50,,,,,
12:02:45,12:07:50,12:08:24,,,,,
12:04:53,12:08:24,12:08:59,,,,,
12:04:55,12:08:59,12:09:06,,,,,
12:12:51,12:12:51,12:13:19,,,,,
12:12:57,12:13:19,12:15:33,,,,,
12:12:58,12:15:33,12:16:05,,,,,
12:14:34,12:16:05,12:16:32,,,,,
12:14:42,12:16:32,12:16:48,,,,,
12:17:42,12:17:42,12:18:36,,,,,
12:18:52,12:18:52,12:19:44,,,,,
12:19:49,12:19:49,12:20:54,,,,,
12:19:52,12:20:54,12:21:51,,,,,
12:20:13,12:21:51,12:21:51,,,,,
12:21:53,12:21:53,12:22:57,,,,,
12:22:15,12:22:57,12:23:48,,,,,
12:23:09,12:23:48,12:24:26,,,,,
12:24:17,12:24:26,12:32:59,,,,,
12:24:18,12:32:59,12:33:34,,,,,
12:25:03,12:33:34,12:33:56,,,,,
12:25:08,12:33:56,12:34:17,,,,,
12:25:28,12:34:17,12:34:56,,,,,
12:25:29,12:34:56,12:35:00,,,,,
12:29:28,12:35:00,12:35:27,,,,,
12:30:12,12:35:27,12:35:53,,,,,
12:30:18,12:35:53,12:36:37,,,,,
12:33:08,12:36:37,12:36:53,,,,,
12:34:51,12:36:53,12:40:01,,,,,
12:36:15,12:40:01,12:40:10,,,,,
12:39:06,12:40:10,12:41:01,,,,,
12:39:07,12:41:01,12:41:49,,,,,
12:39:50,12:41:49,12:41:59,,,,,
12:39:53,12:41:59,12:42:25,,,,,
12:39:54,12:42:25,12:42:38,,,,,
12:42:48,12:42:48,12:43:09,,,,,
12:42:52,12:43:09,12:44:07,,,,,
12:42:59,12:44:07,12:44:32,,,,,
12:44:22,12:44:32,12:45:44,,,,,
12:44:59,12:45:44,12:45:59,,,,,
12:45:00,12:45:59,12:46:46,,,,,
12:47:20,12:47:20,12:48:19,,,,,
12:50:20,12:50:20,12:51:17,,,,,
12:51:47,12:51:47,12:53:56,,,,,
12:52:21,12:53:56,12:54:46,,,,,
12:52:29,12:54:46,12:55:04,,,,,
12:52:31,12:55:04,12:55:18,,,,,
12:53:10,12:55:18,12:55:26,,,,,
12:54:08,12:55:26,12:56:10,,,,,
12:56:57,12:56:57,12:58:47,,,,,
13:01:33,13:01:33,13:01:55,,,,,
13:01:33,13:01:55,13:02:03,,,,,
13:01:35,13:02:03,13:02:38,,,,,
13:02:46,13:02:47,13:03:49,,,,,
13:02:47,13:03:49,13:04:42,,,,,
13:03:50,13:04:42,13:05:10,,,,,
13:03:52,13:05:10,13:05:30,,,,,
13:03:56,13:05:30,13:05:55,,,,,
13:04:32,13:05:55,13:06:33,,,,,
13:07:30,13:07:30,13:08:45,,,,,
13:08:24,13:08:45,13:09:45,,,,,
13:08:25,13:09:45,13:10:15,,,,,
13:09:25,13:10:15,13:11:22,,,,,
13:09:26,13:11:22,13:11:25,,,,,
13:10:04,13:11:25,13:12:38,,,,,
13:12:27,13:12:38,13:14:50,,,,,
13:18:54,13:18:54,13:19:15,,,,,
13:18:55,13:19:15,13:20:23,,,,,
13:18:57,13:20:23,13:21:44,,,,,
13:19:02,13:21:44,13:21:53,,,,,
13:28:46,13:28:46,13:29:11,,,,,
13:29:16,13:29:16,13:31:39,,,,,
13:39:15,13:39:15,13:40:07,,,,,
13:46:10,13:46:10,13:47:08,,,,,
13:47:13,13:47:13,13:48:12,,,,,
13:48:08,13:48:12,13:53:40,,,,,
13:48:38,13:53:40,13:54:15,,,,,
13:50:52,13:54:15,13:56:36,,,,,
13:51:32,13:56:36,13:56:52,,,,,
13:56:13,13:56:52,13:57:42,,,,,
13:59:47,13:59:47,14:01:27,,,,,
14:04:33,14:04:33,14:06:19,,,,,
14:11:48,14:11:48,14:12:32,,,,,
14:17:32,14:17:32,14:18:21,,,,,
14:22:02,14:22:02,14:23:58,,,,,
14:28:16,14:28:16,14:28:47,,,,,
14:42:19,14:42:19,14:43:45,,,,,
14:42:27,14:43:45,14:48:03,,,,,
14:43:09,14:48:03,14:48:52,,,,,
14:46:00,14:48:52,14:49:07,,,,,
14:49:31,14:49:31,14:49:57,,,,,
14:50:43,14:50:43,14:51:05,,,,,
14:52:22,14:52:22,14:53:45,,,,,
14:52:23,14:53:45,14:54:19,,,,,
14:52:25,14:54:19,14:54:28,,,,,
14:52:41,14:54:28,14:54:28,,,,,
14:52:52,14:54:28,14:55:00,,,,,
14:54:57,14:55:00,14:55:24,,,,,
14:56:07,14:56:07,14:57:47,,,,,
14:58:25,14:58:25,14:59:36,,,,,
14:58:54,14:59:36,14:59:37,,,,,
14:59:47,14:59:47,15:00:29,,,,,
14:59:49,15:00:29,15:00:57,,,,,
15:00:25,15:00:57,15:01:25,,,,,
15:03:45,15:03:45,15:04:03,,,,,
15:03:53,15:04:03,15:04:41,,,,,
15:05:02,15:05:02,15:07:24,,,,,
15:06:14,15:07:24,15:07:38,,,,,
15:09:02,15:09:02,15:10:01,,,,,
15:09:07,15:10:01,15:11:52,,,,,
15:10:41,15:11:52,15:12:13,,,,,
15:10:42,15:12:13,15:12:20,,,,,
15:13:57,15:13:57,15:14:23,,,,,
15:19:31,15:19:31,15:20:49,,,,,
15:27:23,15:27:23,15:28:53,,,,,
15:28:08,15:28:53,15:29:17,,,,,
15:28:15,15:29:17,15:29:34,,,,,
15:28:18,15:29:34,15:30:08,,,,,
15:28:20,15:30:08,15:30:33,,,,,
15:28:26,15:30:33,15:30:48,,,,,
15:28:37,15:30:48,15:31:30,,,,,
15:29:07,15:31:30,15:31:52,,,,,
15:30:14,15:31:52,15:32:09,,,,,
15:30:17,15:32:09,15:32:26,,,,,
15:30:45,15:32:26,15:32:44,,,,,
15:30:50,15:32:44,15:33:51,,,,,
15:31:12,15:33:51,15:34:16,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
